content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
"muy bien lo que dice, pero dígale también a los del barrio alto, eventos en la explanada de las Condes. Ayer, después de haber bajado a fase 3, igual hicieron el evento, y viene otro mañana. Sin por ejemplo las normas mínimas de seguridad, vasos de vidrio, alcohol gel (del otro sobra), ni hablar de túneles sanitarios y el distanciamiento deja mucho que desear. Ojo, reitero, fase 3, no se pueden hacer estos eventos.",0,0,0.17,0,0,0,0.19,0,0,0,0,0,0,0.18,0,0,0,0.22,0.16,0
empate ¡¡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
que defensa más mala del payaso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogelio.... hasta donde llega la estupidez de mezclar y comparar tu Payaso con los vandalos....? Buscate varas mas alta.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pero igual Chile sigue siendio un pais mejor que el resto de latinoamerica, CHILENOS abran los ojos no destruyamos este pais y lleguemos a ser como Venezuela ... o chile en la epoca de Allende que vivi haciendo colas para poder comprar para comer ..",0,0.16,0.17,0,0.21,0,0.19,0,0.16,0,0.3,0,0.17,0.37,0.43,0.27,0.16,0.67,0,0.27
"Primero m presidente debe dar ejemplo, segundo no es santo como lo mencionas paulita.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no se puede defender lo indefendible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES UN SANTO ; QUE LASTIMA QUE SUSPENDIERON LAS PEREGRINACIONES ,HUBIESEMOS IDO A PRENDERLE UN VELITAS ........................................EN LA ....................R.A.J A..",0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0
QUIERES BAJARLE EL CALCHON A LA CHONG .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los izquierdistas que quemaron CHILE, y semanalmenteauspician la destrucción del centro de Santiago (apoyandocombatientes con ácido en las mochilas), ahora arman tremendo escándalo por una mascarilla... hace ratito que el sentido de las proporciones se perdió en este país.",0,0,0,0,0.2,0,0.6,0,0,0,0,0,0,0,0.15,0,0.16,0,0,0.6
COLO COLINO APENAS TE ALCANZA PARA UN EMPATE RATON.,0,0.17,0.18,0.22,0.22,0.17,0,0.24,0,0,0.31,0,0,0.2,0.15,0.15,0,0.48,0.17,0
"Entiendan LA MASCARILLA NO SIRVE DE NADANo existe una pandemia ,, solo show para vacunar a la mayor parte de la población ... Como tan ciegos",0,0,0.17,0.2,0.39,0,0.18,0.22,0.31,0,0.14,0.17,0,0.36,0.14,0.14,0,0.43,0.16,0
"no digas Burradas, seguro que a los medicos que trabajan en la Pandemia, les encanta andar forrados con mascaras y todo ese equipo coneste calor!!Como tanta ignorancia!!Han muerto mas de 20.000 chilenos!",0.12,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0
todos mueren de Covid ahora......mal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y con que vacuna Sra ???,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creo que no entiendes de qué se trata esta noticia...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"efectivamente, la mascarilla NO SIRVE PARA NADA",0,0,0,0,0,0,0,0,0,0,0.18,0,0,0.23,0,0.17,0,0.28,0,0
por favor explica tu teoria.,0,0,0,0.27,0.29,0,0.25,0,0,0.26,0.2,0,0,0.25,0,0.18,0.21,0,0,0
"Entiendo que que la gravedad es mayor cuando se trata de una autoridad, más aún si se trata del presidente de la República, pero como estamos en Chile y los jala bolas son timoratos de actuar pusilánime e interesados no cumplirán con su deber legal, moral y ético y se harán los larrys.",0.12,0,0,0.59,0,0.15,0.36,0.43,0,0.56,0.28,0.51,0.16,0.35,0,0,0.15,0.42,0,0
ENTRE LARRYS SE ENTIENDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el seremi cuida su peguita defendiendo a su jefe,0.14,0,0,0,0,0.18,0,0,0,0,0.17,0,0,0,0,0,0.19,0,0,0
AMBOS VALEN C.A.L.L.A.M.P.A .,0.14,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.16,0,0,0,0
y su abuela?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"igual que tu, Teillier, la Vallejo, la Tontiola y todos los gi.les del PC!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Que pobre y miserable que es Chile preocupado de que el presidente ande con o sin mascarilla, un 30% de la gente no paga el transantiago, hay pandemia, los parlamentarios no se han bajado el sueldo, salen elegidos con menos de 2%, hay ataques terroristas todos los viernes en Santiago y queman gente viva en el sur pero la noticia es que una persona anda sin mascarilla, claramente chile esta condenado por su gente, la raza es la mala.",0.24,0.15,0.17,0.6,0.4,0.31,0.55,0.22,0,0.38,0.14,0.17,0.67,0.36,0.28,0.4,0.31,0.44,0.32,0.79
"El presidente debe dar el ejemplo, por eso es grave que no cumpla las medidas sanitarias.",0,0,0,0.2,0,0,0,0.21,0,0,0.14,0.17,0.16,0,0,0,0,0.21,0.16,0
"Igual que los parlamentarios, ex presidentes y otros?, no es solo función del presidente dar el ejemplo, es de cada uno de ejercer su libertad de la manera que le plazca, creo que Chile es un pais hipócrita que siempre exige al resto lo que el no hace.",0,0.16,0.17,0.41,0.4,0,0.56,0.22,0.32,0,0,0,0.34,0,0.14,0,0.16,0.21,0,0
entonces como unos hacen el otro también... típico pensamiento mediocre... todo esta mal... y que el presidente que se “supone” representa al estado pa variar la kg a no es excusa... presidente de papel,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0
NO POR ESO AL LADRON DEL BANCO DE TALCA HAY QUE ACEPTARLE TODO,0.12,0.16,0,0.21,0,0,0.25,0,0.16,0.39,0,0,0.17,0,0.14,0.14,0,0.22,0.16,0.56
"Tiene pruebas?, por favor deje de mentir o insultar sin pruebas, si las tiene vaya a la justicia y listo, el resto es solo envidia odio y mentira.",0.13,0,0.57,0.45,0.91,0.34,1.02,0.24,0.36,1.07,0.16,0,0.37,0.4,0.16,0.15,0.17,0,0.36,1.11
"LA IZQUIERDA CHILENA ES COMO EL DICHO ESPAÑOL; ""MAJO, SI ME E DE MORIR EN MADRID, QUE ME ENTIERREN EN SEVILLA""; ""SI ME DE MORIR EN SEVILLA, QUE ME ENTIERREN EN MADRID"". ESTO ES POR PURO ""JODER"" COÑO.-",0.29,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y A TITE.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y por qué no colocan la foto en donde aparece sin la mascarilla? Algún día un poco de dignidad?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0
Menos mal que no andaba sin traje de baño.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"este sñor, no tiene cabeza, para pensar siquiera en el sentido comun, es una persona que no merece estrar donde esta...asi de simple.....",0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.18,0,0.13,0,0.21,0,0
"Si tiene, pero conectada con el cu.lo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No hay caso.... este señor no tiene neuronas. Todo lo hace mal. Es un desastre desde la mañana a la noche. Voté por el y me arrepiento al máximo.,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TANTO COLOR LE PONIS POR UNA CA GA DE MASCARILLA ? , ANDA AL SIQUIATRA W E O N,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L a autoridad sanitaria dijo que “elusocorrecto de lamascarilladebe ser siempre y en todo el país. Hay excepciones, al comer, al disfrutar del mar, pero ya sea alaire libreo en espacios cerrados, elusode lamascarillaes fundamental”, reiteró. 15 nov. 2020 Ministro de Salud",0.25,0,0.18,0.63,0,0.16,0.19,0.23,0.17,0.6,0.15,0.55,0.35,0.19,0.15,0.14,0.33,0,0.51,0
"Cuan antipático se hace este gobierno! Cero amor por la Patria y su gente. Impuestos y multas, son sólo para el pueblo.",0,0.18,0.39,0.23,0.48,0,0.21,0.25,0.19,0.22,0.17,0,0,0.42,0,0.15,0,0.26,0.19,0
Alaraquiar demás es otra característica de las ra.tas como tú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Si .""ESTAN DESTRUYENDO EL PAIS",0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.18,0,0,0.73
Qué habremos hecho para merecer a este descriteriado. Simplemente charcha. Sólo sabe especular en la bolsa y evadir impuestos.,0,0,0.17,0.41,0.21,0,0.19,0.22,0.16,0,0.15,0,0,0.19,0,0.14,0,0.22,0.17,0
Todos queremos andar sin mascarilla. Si andaba solo con sus escoltas qué problema hay??,0,0.18,0.4,0.47,0.49,0.18,0.43,0.26,0.19,0,0,0,0.2,0.21,0,0,0.18,0,0,0.28
¿DONDE PODEMOS CONSEGUIR UNA ESCOLTA PARA PASEARNOS A POTOPE POR UNA PLAYA ?,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.18,0,0.13,0.15,0.21,0.16,0
Hasta ahi?..todo muy bien Luego se saco selfies con varias personas..y sin mascarilla..hasta ahi todo mal... El hombre nace bueno...la sociedad lo corrompe... Este sujeto penso en quinto basico..que seria un delincuente?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
"Se robo un banco, el dictador lo salvo.Participo en el caso cascadas, recibió una multa irrisoria.compro acciones de una pesquera peruana mientras estábamos en la haya contra Perú, muchos lo felicitaron. se pasea por la playa sin mascarilla y el seremi dice que como no fue fiscalizado nada se puede hacer.Piñera se ríe de todos los chilenos y nada le pasa.",0.24,0,0.18,0.41,0.63,0,0.38,0,0.17,0.4,0.15,0.18,0.17,0.19,0,0.14,0.32,0,0.17,0.27
se rie de los weo nes jajaja,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.16,0
acusaloo con tu mama quikoooooo jja. estabas en la haya?' jjja por eso no te distes cuentaaaaaaa locoooo jja.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TE HAS GANADO UN UNGUENTO PARA EL ANO GILIPOLLA.-,0,0,0,0,0,0,0.28,0.26,0.2,0,0.17,0,0,0.22,0,0.16,0,0.53,0,0
"Bueno, ya no sorprenden las imbecilidades de este payaso y sus disculpas. Hace todo lo que no debe hacerse. Tendrían que multarlo.",0,0.17,0,0,0.45,0.17,0,0,0.18,0.42,0.16,0,0.19,0.2,0,0.15,0,0,0.18,0
"ANDA A LAS POBLAS, NADIE RESPETA NADA, NI MASCARILLAS NI NADA, PURO SHOW",0,0,0.18,0,0.21,0,0.25,0,0,0.2,0,0.18,0,0.19,0,0.14,0,0,0,0
"LAS POBLAS SON PRESIDENTES ,NO LO SABIA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lo único que hace bien es enriquecerse en forma ilicita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eres un perdedor y envidioso ... ¿que has logrado por tu cuenta?,0,0,0,0,0,0.18,0.21,0,0,0,0,0,0.19,0,0,0,0,0,0,0.28
"Piñera dando el pésimo ejemplo de movilidad y desplazamiento entre Regiones para que la ocurrencia de nuevos casos diarios de Covid-19 que tenemos en Chile se transforme en un cuento de nunca acabar...o peor, que venga una segunda ola todavía mayor que la primera.",0.13,0.16,0.36,0.21,0,0.16,0.19,0,0,0,0.15,0.19,0,0.19,0,0.14,0.17,0.47,0,0.54
Y una persona que anda sin mascarilla también queda impune si reconoce su error? O igual hay sumario?,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Este es un payaso se rie de los ciudadanos basta te queda poco se acerca la horca a la moneda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y a ti cuanto te queda?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
te gusta el deforme. No hay pecado,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
"y a ti ton ti to al cuadrado.... empleado del PC, fogatero y narco terrorista, creo que un día de estos te van a sacar a dar una vuelta en helicóptero.",0,0,0.17,0.21,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.28
"Ayer estuve en la playa en Viña y creo que menos del 30% de las personas tenían mascarilla de manera adecuada.... me parece de una hipocresía notable que ""salgan a hacer un show"" por lo de Piñera cuando la sociedad en general toma las medidas de manera poco prolija. El titular debiera ser otro en donde se exponga la superficialidad del compromiso con la prevención que los visitantes a las playas tienen.",0.25,0.16,0.18,0.21,0,0.16,0.19,0.46,0.34,0.41,0.46,0.55,0.18,0.19,0.15,0.43,0.33,0.46,0.17,0
"Se supone que es el ""Presidente"" y debe dar el ejemplo. O no ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARRY PRESIMIENTE , EL ROBA Y MIENTE.",0,0,0,0.26,0.21,0,0.29,0,0,0.22,0,0.2,0,0.21,0,0,0,0,0,0.7
"A unos ciudadanos extranjeros le cursaron una multa por 2,5 nillones ojo por acomodarse la mascarilla, y al presidente no le pasara nada, es esa la impunidad que nos tiene chatos y aburridos, es la parcialidad con q se actua ante un hecho flagrante.... Como cdo el banco de talca despareció, lo quebraron, se lo robaron y el imputado luego fue presidente de chile. #QueSeVaiganTod@s incluido ese tal Pablo",0,0,0,0.21,0.22,0.16,0.19,0,0,0.61,0.15,0.37,0.18,0.58,0.15,0.14,0.33,0,0.34,0.27
Y mas fue en un parque con full dist. social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL PAYASO DANDO EL MAL EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESTE PRESIDENTE INFRINGE LA LEY, COMO LO HA HECHO EN TODA SU VIDA, ASI QUE NO ME EXTRAÑA LO QUE HIZO EN LA PLAYA, HAY QUE MULTARLO.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uno debe hacer lo contrario de lo que hace piñera : Debemos ser honestos, cumplir con las normas y leyes y usar mascarilla por respeto a la norma y la gente. Él no es un referente, hay que obviar lo que diga y haga.",0,0,0.18,0.21,0.22,0,0.2,0.23,0,0.2,0.15,0.37,0,0.19,0,0.14,0,0.23,0,0
"Pa variar, no solo si te pillan, como el banco de talca, acceso a información privilegiada de acciones de LAN, llevar al hijito a hacer negocios a China en una gira presidencial o la triángulacion de Habitat. Si no te fiscalizan con una disculpa barata basta",0.13,0,0.36,0.23,0.62,0.17,0.41,0.46,0.49,0.41,0.15,0.18,0.37,0.58,0,0.31,0.17,0.22,0.34,0
