content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
Respeto sus creencias pero me da tristeza que no vean mas alla de lo que creen y por eso se pierden de vivir la vida😔,0,0,0.17,0,0.2,0,0.19,0,0,0.19,0,0.18,0,0.18,0,0.14,0,0,0,0
"Deberían de quitar en YouTube la opción de comentar, ya que no puedo concentrarme en ningún video porque es adictivo leer los comentarios en el momento que estás viendo el video.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
que triste ver gente que vive de esa manera,0,0,0.18,0,0,0.17,0,0,0,0.21,0,0,0,0,0,0,0.17,0,0,0
Estas estafadores de parcelas y tierras tienen que ser expulsados de nuestras patrias,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0.14,0,0.15,0,0,0.26
Que pedo con los menonitas... xDD estan bien pinches locos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parece una secta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se fueron a vivir a la concha de la lora...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soy de América Central y no tenia ni idea de esto. Ahh, no me di cuenta porque estan en Belice, por alguna razon es como si ese pais no existiera a pesar de ser nuestro vecino.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0
Parece como si tuvieran dentadura postiza la gente adulta... No cuentan con recursos para el cuidado dental,0.12,0,0,0,0,0.16,0,0,0,0,0.29,0,0,0.18,0,0.14,0.16,0.21,0,0
Interesante documental!,0,0,0,0.29,0,0,0.27,0,0,0.28,0,0,0,0.27,0,0,0,0,0,0
"Lo q no entiendo es que si no quieren saber nada del mundo moderno, por que tienen una botella de 2 litros de coca cola ? consulta desde la ignorancia, no deberían de estar también en contra de eso que se fabrica en el mundo moderno ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No tienen luz y la tienda del pueblo con ventilador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me encanta este Documental 😎👌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaso los aviones los tractores no pertenecen a las modernidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el covid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandamientos de hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
funcionan como sectas con lavado de cerebro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cada quien debería vivir como le parezca, lo que considero mal es que le sierren la puerta a las personas que quieren algo diferente, el progreso nunca es malo, el cambio y la alegría es bueno, al igual que las diferentes oportunidades.",0.25,0,0.18,0.44,0.61,0,0.2,0.23,0.16,0,0.15,0.36,0.18,0.19,0.29,0.15,0,0.44,0.33,0
Eso no lo dice la biblia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me quedé con la duda que pasa cuando uno de ellos muere los sepultan en un cementerio propio o como,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0
Esta bien que obedezcan la biblia pero que dicen acerca de compartir todo lo que saben donde lo dejan,0,0,0,0.22,0.22,0,0,0,0,0,0.16,0,0,0.2,0,0,0,0,0,0
"Ahora se van a peru(amazonas) lo dice en el.video , peru tierra prometida de los inmigrantes",0.12,0.16,0.18,0.21,0.21,0.16,0,0.23,0,0.2,0.3,0.18,0.17,0.19,0.15,0.14,0.16,0,0.17,0
"De todos los lugares vienieron a Perú, jjajaja, espero que les vaya bien, y que lo mejor es que se mantengan bien pero bien alejados de la modernidad de Perú jejeje",0.15,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0.29,0,0
Hay por favor.... Deben dejar que los niños y niñas sean libres. Nada se esconde para siempre y todo sale a la luz,0,0,0,0.2,0.2,0,0.36,0,0,0.19,0.28,0,0,0.35,0,0.26,0.15,0.21,0,0
Demaciado comerciales no estoy viendo la tele paga internet para evitar eso y ver lo que yo quiera,0,0,0,0,0,0,0.2,0,0.18,0,0.31,0,0.18,0.39,0,0.29,0,0.72,0,0
Perú es un paraíso.,0.12,0,0.17,0.2,0.2,0.15,0,0,0.16,0,0,0,0,0.18,0,0.13,0,0.21,0,0
"Más allá de las supersticiones de esa gente.. la familia que se mudo a Perú me parece muy trabajadora, emprendedora y hasta bilingües jeje..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
que raro que no los Desalojan de las tierras que seguramente no pagaron aca todo tenes que pagar comos si fuera que la tierra es de alguien :(,0.13,0,0,0,0,0,0.39,0.22,0,0,0.3,0,0,0,0,0.44,0.16,0.44,0,0
Y cuando se casan entre primos?🤔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUE QUIERES QUE TE DIGA?? RAZON NO LES FALTA!! SON PUROS DE ALMA!! NO ESTAN INTOXICADOS !!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¿ En serio? ¿y sólo los "" hombres "" pueden ocupar las cabeceras de la mesa?",0,0,0.19,0.22,0.23,0,0.21,0.25,0.18,0,0,0,0,0,0,0,0,0,0,0
Like si lo viste en cuarentena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solo diré que vivimos en un continente raro,0,0,0.19,0.22,0.22,0,0.2,0.24,0.18,0,0,0,0,0,0,0,0,0,0,0
